cell_1 cell_2 cell_3 cell_4 cell_5 cell_6 cell_7 cell_8 cell_9 cell_10 cell_11 cell_12 cell_13 cell_14 cell_15 cell_16 cell_17 cell_18 cell_19 cell_20 cell_21 cell_22 cell_23 cell_24 cell_25 cell_26 cell_27 cell_28 cell_29 cell_30 cell_31 cell_32 cell_33 cell_34 cell_35 cell_36 cell_37 cell_38 cell_39 cell_40 cell_41 cell_42 cell_43 cell_44 cell_45 cell_46 cell_47 cell_48 cell_49 cell_50 cell_51 cell_52 cell_53 cell_54 cell_55 cell_56 cell_57 cell_58 cell_59 cell_60 cell_61 cell_62 cell_63 cell_64 cell_65 cell_66 cell_67 cell_68 cell_69 cell_70 cell_71 cell_72 cell_73 cell_74 cell_75 cell_76 cell_77 cell_78 cell_79 cell_80 cell_81 cell_82 cell_83 cell_84 cell_85 cell_86 cell_87 cell_88 cell_89 cell_90 cell_91 cell_92 cell_93 cell_94 cell_95 cell_96 cell_97 cell_98 cell_99 cell_100 cell_101 cell_102 cell_103 cell_104 cell_105 cell_106 cell_107 cell_108 cell_109 cell_110 cell_111 cell_112 cell_113 cell_114 cell_115 cell_116 cell_117 cell_118
Ackr3 0 0 1 2 0 2 0 0 0 2 0 0 0 1 2 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 2 2 1 2 1 3 2 0 0
Acot6 0 0 0 0 1 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 2 1 0 0 0 2 0 0 2 0 0 2 0 1 0 0 0 0 0 0 2 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 1 0 0 0 0
Acsbg1 2 2 2 2 0 6 1 0 0 0 2 0 3 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 1 0 0 0 0 3 2 0 6 3 2 3 1 0 0 0 0 1 0 2 2 0 0 1 0 2 0 2 0 2 1 2 0 0 1 0 2 1 1 2 0 2 0 0 2 0 0 0 0 1 0 1 1 0 1 0 2 0 0 0 0 0 0 4 0 2 0 1 0 1 2 2 2 0 0 2 1 0 0 0 0 3
Acsf2 0 0 2 0 2 0 1 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 2 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2
Actrt3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Adam17 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0
Adam19 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0
Adam5 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0
Adcy2 3 1 0 0 0 0 3 0 0 0 2 2 0 0 0 0 2 1 2 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 5 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0 4 1 1 0 0 0 0 0 0 1 0 0 2 2 1 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3
Add3 1 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 1 2 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 2 0 0 2 0 2 0 0 0 0 3 0 0 0 0 1 0 0 0 0 2
Adipor1 1 1 0 0 1 1 2 0 1 1 0 0 0 0 0 0 1 0 2 0 2 2 2 0 2 0 0 0 0 2 1 1 0 0 0 5 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 0 2 1 2 1 1 0 0 1 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 2 1 1 0 0 0 2
Agap1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 0 2 0 1 0 0 0 2 0 0 1 0 0 0
Agpat4 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0
Aif1l 1 0 0 0 0 0 0 1 0 2 2 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 2 2 1 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0
Ak4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 3 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 2 1 1 1 0 0 4 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1
Aldh2 1 2 1 0 0 5 1 2 1 0 0 0 2 2 1 3 1 0 2 0 0 0 2 0 0 0 1 2 0 2 0 0 0 0 0 0 2 0 0 0 0 2 2 2 2 0 1 0 2 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 2 1 0 1 0 1 3 0 0 1 0 0 0 0 0 1 2 1 0 2 0 0 0 2 0 2 0 0 0 0 1 0 0 0 2 2
Aldh3a1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 2 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
Alpl 2 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 2 2 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0
Als2 1 2 0 2 0 0 1 1 0 2 0 1 2 1 1 0 0 0 1 0 0 1 2 0 0 1 0 0 2 0 2 0 2 0 0 2 0 0 0 0 1 0 0 2 0 0 0 2 2 0 0 0 0 0 2 0 1 0 0 3 2 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 2 0 0 2 0 1 0 2 0 0 2 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0
Als2cl 0 1 0 2 2 0 0 2 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 0 0 0 2 1 0 0 0 0 2
Amhr2 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 1 1 1 0 2 2 0 0 0 0 0 2 1 0 1 0 0 0 0 0 2 2 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 2 2 2 2 0 0 2 0 0 2 0 1 0 0 0 0 2 1 0 2 2
Amot 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 2 0 0 2 0 2 0 0 0 1 1 0 0 0 1 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 2 0 2 1 0 2 1 0 0 2 0 0 2 0 1 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 0 0 2 0 1 0 0 2
Amotl2 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 1 2 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 1 2 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 2 2
Ampd3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Angptl4 0 0 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0
Ankk1 2 0 1 2 0 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ankrd50 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 0
Ano6 2 0 0 0 0 0 0 1 2 0 0 0 2 2 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 3
Antxr1 2 0 0 2 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 2 3 0 0 0
Antxrl 0 0 1 0 0 0 0 1 0 0 1 3 0 0 2 0 0 0 1 0 0 2 2 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 2 2 0 0 2 0 0 0 0 0 2 2 0 0 0 2 1 0 2 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 1 0 2 2 0 0 2 2 0 2 2 1 0 2 2 0 0 0 0 0 0 2 1 0 0 2 0 1 0 0 0 0
Anxa6 0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 2 0 0 2 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 3 0 0 0 0 0 2 0 2 2 0 2 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 1 1 0 1 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 3 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0
Apmap 1 2 0 0 0 2 1 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 1 1 0 0 1 2 2 0 0 0 0 1 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 2 0 0 2 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 1 0 0 0 0 0
Apod 1 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0
Appl2 0 2 0 0 0 2 2 0 0 0 0 0 0 2 1 2 2 0 0 0 1 1 0 2 0 0 1 0 0 0 2 0 0 0 0 3 1 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 0 1 2 0 0 1 2 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 2 0 2 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2
Aqp4 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 2 2 2 1 0 0 1 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 1
Arap1 1 0 0 0 2 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 0 0 2 1 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Arhgap31 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 2 0 1 1 0 2 1 0 0 0 2 0 0 2 0
Arhgef10l 0 3 2 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 2 0 0 2 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 2 0 0 2 0 2 0 1 0 0 0 0 1 2 1 2 2 0 0 0 1 2 0 0 1 0 0 0 0 2 2 1 0 2 1 0 0 1 2 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1
Arhgef15 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 3 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0
Arhgef19 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 2 0 0
Arid3a 2 1 0 0 0 2 0 0 1 0 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 1 0 0 1 0 0 2 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 1 0 1 2 1 0 2 2 1 2 0 0 2 2 1 0 2 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 2 2 2 0 0 0 0 2 0 0 1 0 2 0 0 0
Arid5b 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 1 2 0 0 0 0 0 0 2 3 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 1 0 2 0 0 0
Arih2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2 0 0 2 0 0
